compound_id	category	collection	local_i	main_i	main_d	propensity	availability	purity	logP	logD	logSw	pka_ma	color	stereo	state	cas	chembl_similars	n_similars
379_1183	selected	DC	0.3133	0.2538	0.2509	0.341	66	90%	5.3165	5.3164	-5.3387	25.0201	YELLOW	RACEMIC MIXTURE	Solid	NA	0	0
209_1501	selected	DC	0.481	0.204	0.48	0.2074	1	90%	5.3025	4.7393	-5.9346	6.9756	NOT COLORED	ACHIRAL	Solid	NA	0	0
427_1254	selected	DC	0.6505	0.3109	0.4667	0.4357	2	90%	5.2959	5.2956	-6.0119	23.9638	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1085503, CHEMBL1084837	2
765_1900	selected	DC	0.3357	0.2154	0.5109	0.2853	1	90%	5.2655	5.2655	-5.8089	13.1622	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
212_1292	selected	DC	0.266	0.2615	0.5024	0.3815	2	90%	5.2597	5.2597	-5.829	23.2199	NOT COLORED	ACHIRAL	Solid	NA	0	0
728_1380	selected	DC	0.5324	0.2327	0.3314	0.2892	2	90%	5.2445	5.1793	-5.7895	21.0462	NOT COLORED	ACHIRAL	Solid	NA	0	0
347_1595	selected	DC	0.3418	0.2422	0.5351	0.3166	1	90%	5.2258	5.2256	-5.7041	10.8192	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL5017094, CHEMBL4998269	2
696_1071	selected	DC	0.2262	0.2162	0.2796	0.2749	51	90%	5.2163	5.2162	-5.7651	28.4689	NOT COLORED	ACHIRAL	Solid	NA	0	0
616_1004	selected	DC	0.2452	0.306	0.382	0.5032	84	90%	5.1432	5.143	-5.6851	11.098	ORANGE	ACHIRAL	Solid	NA	0	0
405_1523	selected	DC	0.4184	0.2106	0.2519	0.2523	1	90%	5.1356	5.0745	-5.1621	21.0989	NOT COLORED	ACHIRAL	Solid	NA	0	0
900_1102	selected	DC	0.5641	0.2886	0.4774	0.3993	3	90%	5.1151	5.1148	-5.329	23.9638	NOT COLORED	ACHIRAL	Solid	NA	0	0
416_1751	selected	DC	0.4407	0.2934	0.2973	0.4728	44	90%	5.0734	5.0733	-5.1934	11.692	YELLOW	ACHIRAL	Solid	NA	0	0
283_1048	selected	DC	0.3558	0.2163	0.4554	0.2358	1	90%	5.0389	5.0386	-5.3888	23.8357	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1605636	1
367_1689	selected	DC	0.5344	0.2327	0.3415	0.2912	3	90%	5.0387	4.9776	-5.4147	21.0462	NOT COLORED	ACHIRAL	Oil	NA	0	0
332_1002	selected	DC	0.5956	0.2386	0.5475	0.2633	50	90%	5	4.93	-5.95	8.17	NOT COLORED	ACHIRAL	Solid	NA	0	0
628_1130	selected	DC	0.202	0.2802	0.3549	0.4636	33	90%	4.9858	4.9824	-4.9354	9.5114	YELLOW	ACHIRAL	Solid	NA	CHEMBL4923914	1
906_1988	selected	DC	0.5278	0.2105	0.3293	0.2497	2	90%	4.9824	4.9671	-5.158	21.0462	NOT COLORED	ACHIRAL	Solid	NA	0	0
334_1235	selected	DC	0.4319	0.233	0.4621	0.3181	4	90%	4.9439	4.8787	-4.921	21.0989	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL4997901, CHEMBL4946444	2
657_1862	selected	DC	0.2021	0.2403	0.4981	0.3439	1	90%	4.9332	4.9332	-4.8141	23.6512	NOT COLORED	ACHIRAL	Solid	NA	0	0
992_1861	selected	DC	0.5274	0.234	0.301	0.2915	1	90%	4.8673	4.8062	-4.7896	21.0462	NOT COLORED	ACHIRAL	Solid	NA	0	0
329_1360	selected	DC	0.6576	0.4665	0.3623	0.5879	2	90%	4.8376	4.8372	-4.7552	24.042	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1305231, CHEMBL1084301	2
10_1648	selected	DC	0.4796	0.2211	0.3716	0.2734	4	90%	4.7956	4.6796	-4.756	21.0989	NOT COLORED	ACHIRAL	Solid	NA	0	0
640_1722	selected	DC	0.5659	0.2188	0.3694	0.272	2	90%	4.7848	4.7654	-4.4378	13.7864	ORANGE	RACEMIC MIXTURE	Solid	NA	0	0
267_1376	selected	DC	0.3984	0.364	0.2051	0.2564	7	90%	4.7842	4.7772	-5.1698	9.2465	ORANGE	ACHIRAL	Solid	NA	CHEMBL1449398	1
72_1177	selected	DC	0.2059	0.2127	0.4689	0.2898	1	90%	4.7694	4.7694	-4.6533	13.1622	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
946_1043	selected	DC	0.6867	0.3622	0.4858	0.5096	2	90%	4.7675	4.7674	-5.1274	23.9638	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1082791, CHEMBL1084837	2
427_1237	selected	DC	0.6214	0.2592	0.4514	0.3277	7	90%	4.7518	4.7324	-4.3252	13.6652	NOT COLORED	RACEMIC MIXTURE	Solid	NA	0	0
174_1627	selected	DC	0.4324	0.7539	0.2261	0.2293	15	90%	4.7474	4.5974	-5.0387	7.7847	NOT COLORED	ACHIRAL	Solid	NA	CHEMBL1456053	1
901_1543	selected	DC	0.2821	0.3367	0.23	0.2231	152	90%	4.7387	4.7205	-4.8852	8.769	NOT COLORED	ACHIRAL	Solid	NA	0	0
624_1507	selected	DC	0.4981	0.5812	0.3081	0.4437	55	90%	4.6767	4.661	-4.8533	8.8331	YELLOW	ACHIRAL	Solid	NA	CHEMBL1566864, CHEMBL1375506, CHEMBL1451521	3
169_1573	selected	DC	0.4085	0.2241	0.675	0.3227	16	90%	4.6437	4.6436	-5.2833	14	YELLOW	ACHIRAL	Solid	NA	0	0
325_1594	selected	DC	0.2942	0.211	0.4184	0.2065	2	90%	4.6357	4.6357	-4.4652	24.0451	NOT COLORED	ACHIRAL	Solid	NA	0	0
